SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos,SalaryBaseSalary,SalaryCompensation,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Remarks
SEA,Keller ,Kasey ,Kasey  Keller ,GK , -  , -  ,"July 10, 2008",2008,July,July 2008,,
NYRB,Abang,Anatole,Anatole Abang,F,50000.00,50000.00,"September 15, 2015",2015,September,September 2015,,
ORL,Kaka,Ricardo,Ricardo Kaka,M,6660000.00,7167500.00,"September 15, 2014",2014,September,September 2014,,
SKC,Abdul-Salaam,Saad,Saad Abdul-Salaam,D,60000.00,73750.00,"September 15, 2015",2015,September,September 2015,,
CHI,Accam,David,David Accam,F,650000.00,720938.00,"September 15, 2015",2015,September,September 2015,,
FCD,Acosta,Kellyn,Kellyn Acosta,M,60000.00,84000.00,"September 15, 2015",2015,September,September 2015,,
TFC,Bradley,Michael,Michael Bradley,M,6000000.00,6500000.00,"September 15, 2014",2014,September,September 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F,6000000.00,6180000.00,"September 15, 2014",2014,September,September 2014,,
TFC,Bradley,Michael,Michael Bradley,M,6000000.00,6500000.00,"April 1, 2014",2014,April,April 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F,6000000.00,6180000.00,"April 1, 2014",2014,April,April 2014,,
VAN,Adekugbe,Samuel,Samuel Adekugbe,D,60000.00,65000.00,"September 15, 2015",2015,September,September 2015,,
POR,Adi,Fanendo,Fanendo Adi,F,651500.00,664000.00,"September 15, 2015",2015,September,September 2015,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D ,5544000.00,5544000.00,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"January 9, 2011",2011,January,January 2011,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"September 15, 2009",2009,September,September 2009,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"July 10, 2008",2008,July,July 2008,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"July 31, 2007",2007,July,July 2007,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"January 10, 2012",2012,January,January 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"August 1, 2012",2012,August,August 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"May 15, 2012",2012,May,May 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"January 9, 2011",2011,January,January 2011,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"August 12, 2010",2010,August,August 2010,,
SEA,Dempsey,Clint,Clint Dempsey,F,4913004.00,6695189.00,"September 15, 2014",2014,September,September 2014,,
SEA,Dempsey,Clint,Clint Dempsey,F,4913004.00,6695189.00,"April 1, 2014",2014,April,April 2014,,
SEA,Dempsey,Clint,Clint Dempsey,F,4913004.00,5038567.00,"September 15, 2013",2013,September,September 2013,,
SEA,Dempsey,Clint,Clint Dempsey,F,4913004.00,5038567.00,"August 1, 2013",2013,August,August 2013,,
CLB,Afful,Harrison,Harrison Afful,D,150000.00,150000.00,"September 15, 2015",2015,September,September 2015,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D ,4600000.00,4600000.00,"January 10, 2012",2012,January,January 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D ,4600000.00,4600000.00,"August 1, 2012",2012,August,August 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D ,4600000.00,4600000.00,"May 15, 2012",2012,May,May 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D ,4600000.00,4600000.00,"January 9, 2011",2011,January,January 2011,,
NE,Agudelo,Juan,Juan Agudelo,F,400000.00,427500.00,"September 15, 2015",2015,September,September 2015,,
LAG,Keane,Robbie,Robbie Keane,F,4500000.00,4500000.00,"September 15, 2014",2014,September,September 2014,,
LAG,Keane,Robbie,Robbie Keane,F,4500000.00,4500000.00,"April 1, 2014",2014,April,April 2014,,
LAG,Donovan,Landon,Landon Donovan,F,4250000.00,4583333.00,"September 15, 2014",2014,September,September 2014,,
LAG,Donovan,Landon,Landon Donovan,F,4250000.00,4583333.00,"April 1, 2014",2014,April,April 2014,,
DC,Aguilar,Miguel,Miguel Aguilar,M,60000.00,60000.00,"September 15, 2015",2015,September,September 2015,,
LAG,Keane,Robbie,Robbie Keane,F,4000000.00,4333333.00,"September 15, 2013",2013,September,September 2013,,
LAG,Keane,Robbie,Robbie Keane,F,4000000.00,4333333.00,"August 1, 2013",2013,August,August 2013,,
LAG,Keane,Robbie,Robbie Keane,F,4000000.00,4333333.00,"May 1, 2013",2013,May,May 2013,,
FCD,Akindele,Tesho,Tesho Akindele,F,70000.00,87500.00,"September 15, 2015",2015,September,September 2015,,
NYRB,Henry,Thierry,Thierry Henry,F,3750000.00,4350000.00,"September 15, 2014",2014,September,September 2014,,
NYRB,Henry,Thierry,Thierry Henry,F,3750000.00,4350000.00,"April 1, 2014",2014,April,April 2014,,
NYRB,Henry,Thierry,Thierry Henry,F,3750000.00,4350000.00,"September 15, 2013",2013,September,September 2013,,
NYRB,Henry,Thierry,Thierry Henry,F,3750000.00,4350000.00,"August 1, 2013",2013,August,August 2013,,
NYRB,Henry,Thierry,Thierry Henry,F,3750000.00,4350000.00,"May 1, 2013",2013,May,May 2013,,
NYRB,Cahill,Tim,Tim Cahill,M,3500000.00,3625000.00,"September 15, 2014",2014,September,September 2014,,
NYRB,Cahill,Tim,Tim Cahill,M,3500000.00,3625000.00,"April 1, 2014",2014,April,April 2014,,
NYRB,Cahill,Tim,Tim Cahill,M,3500000.00,3625000.00,"September 15, 2013",2013,September,September 2013,,
NYRB,Cahill,Tim,Tim Cahill,M,3500000.00,3625000.00,"August 1, 2013",2013,August,August 2013,,
NYRB,Cahill,Tim,Tim Cahill,M,3500000.00,3625000.00,"May 1, 2013",2013,May,May 2013,,
NYRB,Cahill ,Tim ,Tim  Cahill ,M ,3500000.00,3625000.00,"January 10, 2012",2012,January,January 2012,,
NE,Jones,Jermaine,Jermaine Jones,M,3000000.00,3252500.00,"September 15, 2014",2014,September,September 2014,,
LAG,Beckham ,David ,David  Beckham ,M ,3000000.00,4000000.00,"January 10, 2012",2012,January,January 2012,,
LAG,Beckham ,David ,David  Beckham ,M ,3000000.00,4000000.00,"August 1, 2012",2012,August,August 2012,,
LAG,Beckham ,David ,David  Beckham ,M ,3000000.00,4000000.00,"May 15, 2012",2012,May,May 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F ,2917241.00,3417243.00,"January 10, 2012",2012,January,January 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F ,2917241.00,3417243.00,"August 1, 2012",2012,August,August 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F ,2917241.00,3417243.00,"May 15, 2012",2012,May,May 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F ,2917241.00,3417243.00,"January 9, 2011",2011,January,January 2011,,
SJE,Alashe,Fatai,Fatai Alashe,M,60000.00,76250.00,"September 15, 2015",2015,September,September 2015,,
HOU,Alex,,Alex,M,142000.00,142000.00,"September 15, 2015",2015,September,September 2015,,
LAG,Donovan,Landon,Landon Donovan,F,2500000.00,2500000.00,"September 15, 2013",2013,September,September 2013,,
LAG,Donovan,Landon,Landon Donovan,F,2500000.00,2500000.00,"August 1, 2013",2013,August,August 2013,,
LAG,Donovan,Landon,Landon Donovan,F,2500000.00,2500000.00,"May 1, 2013",2013,May,May 2013,,
CHI,Alex,,Alex,M,123750.00,133700.00,"September 15, 2014",2014,September,September 2014,,
CHI,Alex,,Alex,M,123750.00,133700.00,"April 1, 2014",2014,April,April 2014,,
MTL,Alexander,Eric,Eric Alexander,M,140000.00,153750.00,"September 15, 2015",2015,September,September 2015,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,2400000.00,2400000.00,"January 10, 2012",2012,January,January 2012,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,2400000.00,2400000.00,"August 1, 2012",2012,August,August 2012,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,2400000.00,2400000.00,"May 15, 2012",2012,May,May 2012,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,2300000.00,2300000.00,"January 9, 2011",2011,January,January 2011,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,2050000.00,2127778.00,"August 12, 2010",2010,August,August 2010,,
RSL,Allen,Jordan,Jordan Allen,M/F,80000.00,90000.00,"September 15, 2015",2015,September,September 2015,,
TFC,Frings ,Torsten ,Torsten  Frings ,M ,2000000.00,2413667.00,"January 10, 2012",2012,January,January 2012,,
TFC,Frings ,Torsten ,Torsten  Frings ,M ,2000000.00,2413667.00,"August 1, 2012",2012,August,August 2012,,
TFC,Frings ,Torsten ,Torsten  Frings ,M ,2000000.00,2413667.00,"May 15, 2012",2012,May,May 2012,,
FCD,de Guzman ,Julian ,Julian  de Guzman ,M ,1863996.00,1910746.00,"January 10, 2012",2012,January,January 2012,,
FCD,de Guzman ,Julian ,Julian  de Guzman ,M ,1863996.00,1910746.00,"August 1, 2012",2012,August,August 2012,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M ,1863996.00,1910746.00,"May 15, 2012",2012,May,May 2012,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M ,1863996.00,1910746.00,"January 9, 2011",2011,January,January 2011,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M ,1670796.00,1717546.00,"August 12, 2010",2010,August,August 2010,,
NYCFC,Allen,RJ,RJ Allen,D,60000.00,60000.00,"September 15, 2015",2015,September,September 2015,,
SEA,Martins,Obafemi,Obafemi Martins,F,1620000.00,1753333.00,"September 15, 2014",2014,September,September 2014,,
SEA,Martins,Obafemi,Obafemi Martins,F,1620000.00,1753333.00,"April 1, 2014",2014,April,April 2014,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F ,1620000.00,1918000.00,"August 12, 2010",2010,August,August 2010,,
SEA,Martins,Obafemi,Obafemi Martins,F,1600000.00,1725000.00,"September 15, 2013",2013,September,September 2013,,
SEA,Martins,Obafemi,Obafemi Martins,F,1600000.00,1725000.00,"August 1, 2013",2013,August,August 2013,,
SEA,Martins,Obafemi,Obafemi Martins,F,1600000.00,1725000.00,"May 1, 2013",2013,May,May 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F,1500000.00,2600000.00,"September 15, 2014",2014,September,September 2014,,
MTL,Di Vaio,Marco,Marco Di Vaio,F,1500000.00,2600000.00,"April 1, 2014",2014,April,April 2014,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F ,1500000.00,1798000.00,"September 15, 2009",2009,September,September 2009,,
DC,Gallardo ,Marcelo ,Marcelo  Gallardo ,M ,1500000.00,1874006.00,"July 10, 2008",2008,July,July 2008,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F ,1500000.00,1593750.00,"July 10, 2008",2008,July,July 2008,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F ,1500000.00,1593750.00,"July 31, 2007",2007,July,July 2007,,
CHI,Alex,,Alex,M,110000.00,119950.00,"September 15, 2013",2013,September,September 2013,,
CHI,Alex,,Alex,M,110000.00,119950.00,"August 1, 2013",2013,August,August 2013,,
SEA,Ljungberg ,Fredrik ,Fredrik  Ljungberg ,M ,1300000.00,1314000.00,"September 15, 2009",2009,September,September 2009,,
TFC,Koevermans,Danny,Danny Koevermans,F,1250000.00,1663323.00,"September 15, 2013",2013,September,September 2013,,
TFC,Koevermans,Danny,Danny Koevermans,F,1250000.00,1663323.00,"August 1, 2013",2013,August,August 2013,,
TFC,Koevermans,Danny,Danny Koevermans,F,1250000.00,1663323.00,"May 1, 2013",2013,May,May 2013,,
POR,Boyd ,Kris ,Kris  Boyd ,F ,1250000.00,1515000.00,"January 10, 2012",2012,January,January 2012,,
POR,Boyd ,Kris ,Kris  Boyd ,F ,1250000.00,1515000.00,"August 1, 2012",2012,August,August 2012,,
POR,Boyd ,Kris ,Kris  Boyd ,F ,1250000.00,1515000.00,"May 15, 2012",2012,May,May 2012,,
VAN,Miller ,Kenny ,Kenny  Miller ,F ,1221816.00,1239316.00,"January 10, 2012",2012,January,January 2012,,
VAN,Miller ,Kenny ,Kenny  Miller ,F ,1221816.00,1239316.00,"August 1, 2012",2012,August,August 2012,,
SEA,Alonso,Osvaldo,Osvaldo Alonso,M,748000.00,789667.00,"September 15, 2015",2015,September,September 2015,,
POR,Ridgewell,Liam,Liam Ridgewell,D,1200000.00,1200000.00,"September 15, 2014",2014,September,September 2014,,
NE,Alston,Kevin,Kevin Alston,D,140000.00,158333.00,"September 15, 2015",2015,September,September 2015,,
VAN,Morales,Pedro,Pedro Morales,M,1190000.00,1410900.00,"September 15, 2014",2014,September,September 2014,,
VAN,Morales,Pedro,Pedro Morales,M,1190000.00,1410900.00,"April 1, 2014",2014,April,April 2014,,
TFC,Altidore,Jozy,Jozy Altidore,F,4750000.00,4750000.00,"September 15, 2015",2015,September,September 2015,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F ,1150000.00,1563323.00,"January 10, 2012",2012,January,January 2012,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F ,1150000.00,1563323.00,"August 1, 2012",2012,August,August 2012,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F ,1150000.00,1563323.00,"May 15, 2012",2012,May,May 2012,,
TFC,Junior,Gilberto,Gilberto Junior,F,1145000.00,1205000.00,"September 15, 2014",2014,September,September 2014,,
TFC,Junior,Gilberto,Gilberto Junior,F,1145000.00,1205000.00,"April 1, 2014",2014,April,April 2014,,
CHI,Alex,,Alex,M,110000.00,119950.00,"May 1, 2013",2013,May,May 2013,,
COL,Alvarez,Carlos,Carlos Alvarez,M,70000.00,70000.00,"September 15, 2015",2015,September,September 2015,,
VAN,Miller,Kenny,Kenny Miller,F,1114992.00,1124992.00,"September 15, 2013",2013,September,September 2013,,
VAN,Miller,Kenny,Kenny Miller,F,1114992.00,1124992.00,"August 1, 2013",2013,August,August 2013,,
VAN,Miller,Kenny,Kenny Miller,F,1114992.00,1132492.00,"May 1, 2013",2013,May,May 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F,1000008.00,1937508.00,"September 15, 2013",2013,September,September 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F,1000008.00,1937508.00,"August 1, 2013",2013,August,August 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F,1000008.00,1937508.00,"May 1, 2013",2013,May,May 2013,,
MTL,Di Vaio ,Marco ,Marco  Di Vaio ,F ,1000008.00,1937508.00,"January 10, 2012",2012,January,January 2012,,
MTL,Di Vaio ,Marco ,Marco  Di Vaio ,F ,1000008.00,1937508.00,"August 1, 2012",2012,August,August 2012,,
NYRB,Reyna ,Claudio ,Claudio  Reyna ,M ,1000008.00,1250008.00,"July 31, 2007",2007,July,July 2007,,
NYCFC,Alvarez,Pablo,Pablo Alvarez,M,60000.00,63045.00,"September 15, 2015",2015,September,September 2015,,
LAG,Gonzalez,Omar,Omar Gonzalez,D,1000000.00,1250000.00,"September 15, 2014",2014,September,September 2014,,
LAG,Gonzalez,Omar,Omar Gonzalez,D,1000000.00,1250000.00,"April 1, 2014",2014,April,April 2014,,
CHV,Angel ,Juan Pablo ,Juan Pablo  Angel ,F ,1000000.00,1250000.00,"January 9, 2011",2011,January,January 2011,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F ,999996.00,1413319.00,"January 9, 2011",2011,January,January 2011,,
SJE,Amarikwa,Quincy,Quincy Amarikwa,F,100000.00,100000.00,"September 15, 2015",2015,September,September 2015,,
TFC,Martinez ,"Miguel ""Mista"" ","Miguel ""Mista""  Martinez ",F ,968736.00,987338.00,"August 12, 2010",2010,August,August 2010,,
SKC,Anibaba,Jalil,Jalil Anibaba,D,120000.00,150000.00,"September 15, 2015",2015,September,September 2015,,
VAN,Miller,Kenny,Kenny Miller,F,930000.00,940000.00,"April 1, 2014",2014,April,April 2014,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M ,909600.00,956350.00,"September 15, 2009",2009,September,September 2009,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,900000.00,900000.00,"September 15, 2009",2009,September,September 2009,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,900000.00,900000.00,"July 10, 2008",2008,July,July 2008,,
LAG,Donovan ,Landon ,Landon  Donovan ,F ,900000.00,900000.00,"July 31, 2007",2007,July,July 2007,,
SKC,Anor,Bernardo,Bernardo Anor,M,135000.00,135000.00,"September 15, 2015",2015,September,September 2015,,
FCD,De Oliveira ,Denilson ,Denilson  De Oliveira ,M ,872736.00,879936.00,"July 31, 2007",2007,July,July 2007,,
CHI,Alex ,,Alex,M ,96000.00,105950.00,"January 10, 2012",2012,January,January 2012,,
TFC,Aparicio,Manuel,Manuel Aparicio,M,60000.00,60000.00,"September 15, 2015",2015,September,September 2015,,
CHI,Alex ,,Alex,M ,96000.00,105950.00,"August 1, 2012",2012,August,August 2012,,
PHI,Aristeguieta,Fernando,Fernando Aristeguieta,F,350004.00,350004.00,"September 15, 2015",2015,September,September 2015,,
DC,Arnaud,Davy,Davy Arnaud,M,212500.00,212500.00,"September 15, 2015",2015,September,September 2015,,
DC,Arrieta,Jairo,Jairo Arrieta,F,150000.00,165000.00,"September 15, 2015",2015,September,September 2015,,
HOU,Beasley,DaMarcus,DaMarcus Beasley,D,750000.00,779167.00,"September 15, 2014",2014,September,September 2014,,
SKC,Johnson ,Eddie ,Eddie  Johnson ,F ,750000.00,875000.00,"July 31, 2007",2007,July,July 2007,,
ORL,Ashe,Corey,Corey Ashe,M,180000.00,189750.00,"September 15, 2015",2015,September,September 2015,,
DC,Emilio ,Luciano ,Luciano  Emilio ,F ,720000.00,758857.00,"September 15, 2009",2009,September,September 2009,,
SKC,Lopez ,Claudio ,Claudio  Lopez ,F ,720000.00,820000.00,"July 10, 2008",2008,July,July 2008,,
DC,Emilio ,Luciano ,Luciano  Emilio ,F ,720000.00,758857.00,"July 10, 2008",2008,July,July 2008,,
POR,Asprilla,Dairon,Dairon Asprilla,F,60000.00,60000.00,"September 15, 2015",2015,September,September 2015,,
RSL,Attinella,Jeff,Jeff Attinella,GK,60000.00,65083.00,"September 15, 2015",2015,September,September 2015,,
SEA,Montero,Fredy,Fredy Montero,F,700000.00,856000.00,"September 15, 2013",2013,September,September 2013,,
SEA,Montero,Fredy,Fredy Montero,F,700000.00,856000.00,"August 1, 2013",2013,August,August 2013,,
SEA,Montero,Fredy,Fredy Montero,F,700000.00,856000.00,"May 1, 2013",2013,May,May 2013,,
TFC,Frings ,Torsten ,Torsten  Frings ,M ,699996.00,1113663.00,"January 9, 2011",2011,January,January 2011,,
VAN,Hassli ,Eric ,Eric  Hassli ,F ,660000.00,900000.00,"January 9, 2011",2011,January,January 2011,,
ORL,Avila,Eric,Eric Avila,M,72000.00,77000.00,"September 15, 2015",2015,September,September 2015,,
CHI,Amarikwa,Quincy,Quincy Amarikwa,F,60000.00,60000.00,"September 15, 2014",2014,September,September 2014,,
PHI,Ayuk,Eric,Eric Ayuk,M,50000.00,50000.00,"September 15, 2015",2015,September,September 2015,,
SEA,Azira,Michael,Michael Azira,D,60000.00,62827.00,"September 15, 2015",2015,September,September 2015,,
PHI,Edu,Maurice,Maurice Edu,M,650000.00,650000.00,"September 15, 2014",2014,September,September 2014,,
PHI,Edu,Maurice,Maurice Edu,M,650000.00,650000.00,"April 1, 2014",2014,April,April 2014,,
CLB,Schelotto ,Guillermo Barros ,Guillermo Barros  Schelotto ,F-M ,650000.00,775000.00,"September 15, 2009",2009,September,September 2009,,
COL,Badji,Dominique,Dominique Badji,F,50000.00,50000.00,"September 15, 2015",2015,September,September 2015,,
NYCFC,Ballouchy,Mehdi,Mehdi Ballouchy,M,68250.00,83250.00,"September 15, 2015",2015,September,September 2015,,
FCD,Escobar,Andres,Andres Escobar,F,625000.00,647000.00,"September 15, 2014",2014,September,September 2014,,
FCD,Escobar,Andres,Andres Escobar,F,625000.00,647000.00,"April 1, 2014",2014,April,April 2014,,
FCD,Ferreira,David,David Ferreira,M-F,625000.00,730000.00,"September 15, 2013",2013,September,September 2013,,
FCD,Ferreira,David,David Ferreira,M-F,625000.00,730000.00,"August 1, 2013",2013,August,August 2013,,
FCD,Ferreira,David,David Ferreira,M-F,625000.00,730000.00,"May 1, 2013",2013,May,May 2013,,
HOU,Barnes,Giles,Giles Barnes,M,247500.00,258375.00,"September 15, 2015",2015,September,September 2015,,
DC,DeRosario ,Dwayne ,Dwayne  DeRosario ,M ,617857.00,663191.00,"January 10, 2012",2012,January,January 2012,,
DC,DeRosario ,Dwayne ,Dwayne  DeRosario ,M ,617857.00,663191.00,"August 1, 2012",2012,August,August 2012,,
DC,DeRosario ,Dwayne ,Dwayne  DeRosario ,M ,617857.00,663191.00,"May 15, 2012",2012,May,May 2012,,
NE,Barnes,Darrius,Darrius Barnes,D,95000.00,101667.00,"September 15, 2015",2015,September,September 2015,,
SJE,Wondolowski,Chris,Chris Wondolowski,M,600000.00,650000.00,"September 15, 2014",2014,September,September 2014,,
SKC,Besler,Matt,Matt Besler,D,600000.00,633250.00,"September 15, 2014",2014,September,September 2014,,
SKC,Zusi,Graham,Graham Zusi,F-M,600000.00,631389.00,"September 15, 2014",2014,September,September 2014,,
SJE,Wondolowski,Chris,Chris Wondolowski,M,600000.00,650000.00,"April 1, 2014",2014,April,April 2014,,
DC,DeRosario,Dwayne,Dwayne DeRosario,M,600000.00,645333.00,"September 15, 2013",2013,September,September 2013,,
DC,DeRosario,Dwayne,Dwayne DeRosario,M,600000.00,645333.00,"August 1, 2013",2013,August,August 2013,,
DC,DeRosario,Dwayne,Dwayne DeRosario,M,600000.00,645333.00,"May 1, 2013",2013,May,May 2013,,
SEA,Montero ,Fredy ,Fredy  Montero ,F ,600000.00,756000.00,"January 10, 2012",2012,January,January 2012,,
FCD,Ferreira ,David ,David  Ferreira ,M-F ,600000.00,705000.00,"January 10, 2012",2012,January,January 2012,,
SEA,Tiffert ,Christian ,Christian  Tiffert ,M ,600000.00,625000.00,"January 10, 2012",2012,January,January 2012,,
SEA,Montero ,Fredy ,Fredy  Montero ,F ,600000.00,756000.00,"August 1, 2012",2012,August,August 2012,,
FCD,Ferreira ,David ,David  Ferreira ,M-F ,600000.00,705000.00,"August 1, 2012",2012,August,August 2012,,
SEA,Montero ,Fredy ,Fredy  Montero ,F ,600000.00,756000.00,"May 15, 2012",2012,May,May 2012,,
FCD,Ferreira ,David ,David  Ferreira ,M-F ,600000.00,705000.00,"May 15, 2012",2012,May,May 2012,,
FCD,Ferreira ,David ,David  Ferreira ,M-F ,600000.00,705000.00,"January 9, 2011",2011,January,January 2011,,
PHI,Barnetta,Tranquillo,Tranquillo Barnetta,M,624000.00,661500.00,"September 15, 2015",2015,September,September 2015,,
POR,Adi,Fanendo,Fanendo Adi,F,580800.00,593300.00,"September 15, 2014",2014,September,September 2014,,
CLB,Higuain,Federico,Federico Higuain,M-F,580000.00,744000.00,"September 15, 2014",2014,September,September 2014,,
CLB,Higuain,Federico,Federico Higuain,M-F,580000.00,744000.00,"April 1, 2014",2014,April,April 2014,,
SJE,Barrera,Leandro,Leandro Barrera,F,60000.00,60000.00,"September 15, 2015",2015,September,September 2015,,
SJE,Wondolowski,Chris,Chris Wondolowski,M,550000.00,600000.00,"September 15, 2013",2013,September,September 2013,,
SJE,Wondolowski,Chris,Chris Wondolowski,M,550000.00,600000.00,"August 1, 2013",2013,August,August 2013,,
SJE,Wondolowski,Chris,Chris Wondolowski,M,550000.00,600000.00,"May 1, 2013",2013,May,May 2013,,
TFC,Hassli ,Eric ,Eric  Hassli ,F ,550000.00,790000.00,"January 10, 2012",2012,January,January 2012,,
TFC,Hassli ,Eric ,Eric  Hassli ,F ,550000.00,790000.00,"August 1, 2012",2012,August,August 2012,,
VAN,Hassli ,Eric ,Eric  Hassli ,F ,550000.00,790000.00,"May 15, 2012",2012,May,May 2012,,
NYRB,Rost ,Frank ,Frank  Rost ,GK ,545460.00,545460.00,"January 9, 2011",2011,January,January 2011,,
SEA,Joseph,Shalrie,Shalrie Joseph,M,540000.00,599333.00,"May 1, 2013",2013,May,May 2013,,
DC,Johnson,Eddie,Eddie Johnson,F,505000.00,613333.00,"September 15, 2014",2014,September,September 2014,,
DC,Johnson,Eddie,Eddie Johnson,F,505000.00,613333.00,"April 1, 2014",2014,April,April 2014,,
SEA,Barrett,Chad,Chad Barrett,F,95000.00,100000.00,"September 15, 2015",2015,September,September 2015,,
POR,Valeri,Diego,Diego Valeri,M,500000.00,500000.00,"September 15, 2014",2014,September,September 2014,,
POR,Valeri,Diego,Diego Valeri,M,500000.00,500000.00,"April 1, 2014",2014,April,April 2014,,
SEA,Montero ,Fredy ,Fredy  Montero ,F ,500000.00,656000.00,"January 9, 2011",2011,January,January 2011,,
CLB,Mendoza ,Andres ,Andres  Mendoza ,F ,500000.00,595000.00,"January 9, 2011",2011,January,January 2011,,
PHI,Kleberson,Jose,Jose Kleberson,M,495000.00,495000.00,"September 15, 2013",2013,September,September 2013,,
PHI,Kleberson,Jose,Jose Kleberson,M,495000.00,495000.00,"August 1, 2013",2013,August,August 2013,,
PHI,Kleberson,Jose,Jose Kleberson,M,495000.00,495000.00,"May 1, 2013",2013,May,May 2013,,
CHV,Joseph ,Shalrie ,Shalrie  Joseph ,M ,495000.00,554333.00,"January 10, 2012",2012,January,January 2012,,
NE,Joseph ,Shalrie ,Shalrie  Joseph ,M ,495000.00,554333.00,"August 1, 2012",2012,August,August 2012,,
NE,Joseph ,Shalrie ,Shalrie  Joseph ,M ,495000.00,554333.00,"May 15, 2012",2012,May,May 2012,,
SEA,Nkufo ,Blaise ,Blaise  Nkufo ,F ,480000.00,480000.00,"August 12, 2010",2010,August,August 2010,,
PHI,Adu ,Freddy ,Freddy  Adu ,M ,475884.00,594884.00,"January 9, 2011",2011,January,January 2011,,
FCD,Barrios,Michael,Michael Barrios,M,60000.00,60000.00,"September 15, 2015",2015,September,September 2015,,
NE,Joseph ,Shalrie ,Shalrie  Joseph ,M ,475000.00,500000.00,"January 9, 2011",2011,January,January 2011,,
CLB,Barson,Chad,Chad Barson,D,60000.00,60000.00,"September 15, 2015",2015,September,September 2015,,
NE,Goncalves,Jose,Jose Goncalves,D,450000.00,479375.00,"September 15, 2014",2014,September,September 2014,,
VAN,Rosales,Mauro,Mauro Rosales,M,450000.00,450000.00,"September 15, 2014",2014,September,September 2014,,
NE,Goncalves,Jose,Jose Goncalves,D,450000.00,479375.00,"April 1, 2014",2014,April,April 2014,,
CHV,Rosales,Mauro,Mauro Rosales,M,450000.00,450000.00,"April 1, 2014",2014,April,April 2014,,
NE,Joseph ,Shalrie ,Shalrie  Joseph ,M ,450000.00,475000.00,"August 12, 2010",2010,August,August 2010,,
CLB,Higuain,Federico,Federico Higuain,M-F,440000.00,604000.00,"September 15, 2013",2013,September,September 2013,,
CLB,Higuain,Federico,Federico Higuain,M-F,440000.00,604000.00,"August 1, 2013",2013,August,August 2013,,
CLB,Higuain,Federico,Federico Higuain,M-F,440000.00,604000.00,"May 1, 2013",2013,May,May 2013,,
VAN,Robson ,Barry ,Barry  Robson ,M ,440000.00,596500.00,"January 10, 2012",2012,January,January 2012,,
VAN,Robson ,Barry ,Barry  Robson ,M ,440000.00,596500.00,"August 1, 2012",2012,August,August 2012,,
