SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos,SalaryBaseSalary,SalaryCompensation,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Remarks
NYRB,Doe ,Francis ,Francis  Doe ,F ,48000.00,48000.00,"July 31, 2007",2007,July,July 2007,,
RSL,Mantilla ,Matias ,Matias  Mantilla ,D ,48000.00,48000.00,"July 31, 2007",2007,July,July 2007,,
HOU,Kamara ,Kei ,Kei  Kamara ,F ,47850.00,57850.00,"July 10, 2008",2008,July,July 2008,,
RSL,Movsisyan ,Yura ,Yura  Movsisyan ,F ,47575.00,57575.00,"July 10, 2008",2008,July,July 2008,,
SEA,Levesque ,Roger ,Roger  Levesque ,F ,47500.00,47500.00,"May 15, 2012",2012,May,May 2012,,
TFC,Wynne ,Marvell ,Marvell  Wynne ,D ,47500.00,150000.00,"July 10, 2008",2008,July,July 2008,,
TFC,Wynne ,Marvell ,Marvell  Wynne ,D ,47500.00,150000.00,"July 31, 2007",2007,July,July 2007,,
NE,Leonard ,Marshall ,Marshall  Leonard ,M ,47500.00,47500.00,"July 31, 2007",2007,July,July 2007,,
CLB,Finlay,Ethan,Ethan Finlay,F,47300.00,62300.00,"September 15, 2013",2013,September,September 2013,,
MTL,Mallace,Calum,Calum Mallace,M,47300.00,62300.00,"September 15, 2013",2013,September,September 2013,,
LAG,Meyer,Tommy,Tommy Meyer,D,47300.00,61050.00,"September 15, 2013",2013,September,September 2013,,
CLB,Finlay,Ethan,Ethan Finlay,F,47300.00,62300.00,"August 1, 2013",2013,August,August 2013,,
MTL,Mallace,Calum,Calum Mallace,M,47300.00,62300.00,"August 1, 2013",2013,August,August 2013,,
LAG,Meyer,Tommy,Tommy Meyer,D,47300.00,61050.00,"August 1, 2013",2013,August,August 2013,,
CLB,Finlay,Ethan,Ethan Finlay,F,47300.00,62300.00,"May 1, 2013",2013,May,May 2013,,
MTL,Mallace,Calum,Calum Mallace,M,47300.00,62300.00,"May 1, 2013",2013,May,May 2013,,
LAG,Meyer,Tommy,Tommy Meyer,D,47300.00,61050.00,"May 1, 2013",2013,May,May 2013,,
HOU,Dixon ,Alex ,Alex  Dixon ,M ,47250.00,52250.00,"January 10, 2012",2012,January,January 2012,,
CLB,Heinemann ,Tommy ,Tommy  Heinemann ,F ,47250.00,47250.00,"January 10, 2012",2012,January,January 2012,,
FCD,John ,George ,George  John ,D ,47250.00,47250.00,"January 10, 2012",2012,January,January 2012,,
LAG,Lopes ,David Junior ,David Junior  Lopes ,D ,47250.00,47250.00,"January 10, 2012",2012,January,January 2012,,
HOU,Dixon ,Alex ,Alex  Dixon ,M ,47250.00,52250.00,"August 1, 2012",2012,August,August 2012,,
CLB,Heinemann ,Tommy ,Tommy  Heinemann ,F ,47250.00,47250.00,"August 1, 2012",2012,August,August 2012,,
FCD,John ,George ,George  John ,D ,47250.00,47250.00,"August 1, 2012",2012,August,August 2012,,
LAG,Lopes ,David Junior ,David Junior  Lopes ,D ,47250.00,47250.00,"August 1, 2012",2012,August,August 2012,,
HOU,Dixon ,Alex ,Alex  Dixon ,M ,47250.00,52250.00,"May 15, 2012",2012,May,May 2012,,
CLB,Heinemann ,Tommy ,Tommy  Heinemann ,F ,47250.00,47250.00,"May 15, 2012",2012,May,May 2012,,
FCD,John ,George ,George  John ,D ,47250.00,47250.00,"May 15, 2012",2012,May,May 2012,,
LAG,Lopes ,David Junior ,David Junior  Lopes ,D ,47250.00,47250.00,"May 15, 2012",2012,May,May 2012,,
NE,Osei ,Emmanuel ,Emmanuel  Osei ,D ,47250.00,52875.00,"August 12, 2010",2010,August,August 2010,,
SJE,Hernandez ,Jason ,Jason  Hernandez ,D ,47250.00,47875.00,"July 10, 2008",2008,July,July 2008,,
NYRB,Parke ,Jeff ,Jeff  Parke ,D ,47250.00,48500.00,"July 31, 2007",2007,July,July 2007,,
RSL,Findley ,Robert ,Robert  Findley ,F ,47100.00,59600.00,"July 10, 2008",2008,July,July 2008,,
CHI,Pause ,Logan ,Logan  Pause ,M ,170000.00,187833.00,"August 1, 2012",2012,August,August 2012,,
