SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos, SalaryBaseSalary , SalaryCompensation ,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Column2
RSL,Findley ,Robert ,Robert  Findley ,F , $73Ê566.00 , $87Ê316.00 ,"August 12, 2010",2010,August,August 2010,,
LAG,Franklin ,Sean ,Sean  Franklin ,D , $73Ê535.00 , $87Ê285.00 ,"August 12, 2010",2010,August,August 2010,,
POR,Zemanski,Ben,Ben Zemanski,M, $73Ê500.00 , $76Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
POR,Zemanski,Ben,Ben Zemanski,M, $73Ê500.00 , $76Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
POR,Zemanski,Ben,Ben Zemanski,M, $73Ê500.00 , $76Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
SEA,Martinez,Mario,Mario Martinez,M, $73Ê200.00 , $73Ê200.00 ,"May 1, 2013",2013,May,May 2013,,
COL,Alvarez,Carlos,Carlos Alvarez,M, $73Ê150.00 , $108Ê150.00 ,"September 15, 2014",2014,September,September 2014,,
CHV,Alvarez,Carlos,Carlos Alvarez,M, $73Ê150.00 , $108Ê150.00 ,"April 1, 2014",2014,April,April 2014,,
POR,Zizzo ,Sal ,Sal  Zizzo ,F , $73Ê125.00 , $81Ê414.00 ,"January 10, 2012",2012,January,January 2012,,
NE,Tierney ,Chris ,Chris  Tierney ,D-M , $73Ê125.00 , $74Ê792.00 ,"January 10, 2012",2012,January,January 2012,,
POR,Zizzo ,Sal ,Sal  Zizzo ,F , $73Ê125.00 , $81Ê414.00 ,"August 1, 2012",2012,August,August 2012,,
NE,Tierney ,Chris ,Chris  Tierney ,D-M , $73Ê125.00 , $74Ê792.00 ,"August 1, 2012",2012,August,August 2012,,
POR,Zizzo ,Sal ,Sal  Zizzo ,F , $73Ê125.00 , $81Ê414.00 ,"May 15, 2012",2012,May,May 2012,,
NE,Tierney ,Chris ,Chris  Tierney ,D-M , $73Ê125.00 , $74Ê792.00 ,"May 15, 2012",2012,May,May 2012,,
SJE,Glen ,Cornell ,Cornell  Glen ,F , $73Ê020.00 , $87Ê895.00 ,"September 15, 2009",2009,September,September 2009,,
POR,Villafana,Jorge,Jorge Villafana,F, $72Ê765.00 , $74Ê432.00 ,"September 15, 2014",2014,September,September 2014,,
POR,Villafana,Jorge,Jorge Villafana,F, $72Ê765.00 , $74Ê432.00 ,"April 1, 2014",2014,April,April 2014,,
NYRB,Miazga,Matt,Matt Miazga,D, $68Ê250.00 , $74Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Gordon ,Alan ,Alan  Gordon ,F , $72Ê504.00 , $72Ê504.00 ,"July 10, 2008",2008,July,July 2008,,
PHI,Hernandez,Cristhian,Cristhian Hernandez,M, $72Ê500.00 , $74Ê375.00 ,"September 15, 2014",2014,September,September 2014,,
PHI,Hernandez,Cristhian,Cristhian Hernandez,M, $72Ê500.00 , $74Ê375.00 ,"April 1, 2014",2014,April,April 2014,,
DC,Gros ,Joshua ,Joshua  Gros ,M , $72Ê500.00 , $75Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
CHV,Galindo ,Maykel ,Maykel  Galindo ,F , $72Ê500.00 , $72Ê500.00 ,"July 31, 2007",2007,July,July 2007,,
SEA,Riley ,James ,James  Riley ,D , $72Ê450.00 , $76Ê075.00 ,"August 12, 2010",2010,August,August 2010,,
LAG,Stephens ,Michael ,Michael  Stephens ,M , $72Ê050.00 , $93Ê300.00 ,"January 10, 2012",2012,January,January 2012,,
LAG,Stephens ,Michael ,Michael  Stephens ,M , $72Ê050.00 , $93Ê300.00 ,"August 1, 2012",2012,August,August 2012,,
LAG,Stephens ,Michael ,Michael  Stephens ,M , $72Ê050.00 , $93Ê300.00 ,"May 15, 2012",2012,May,May 2012,,
CHI,Lindpere,Joel,Joel Lindpere,M, $180Ê000.00 , $205Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Miller,Roy,Roy Miller,M, $200Ê000.00 , $200Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
CHI,Ljungberg ,Fredrik ,Fredrik  Ljungberg ,M , $1Ê300Ê000.00 , $1Ê314Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
VAN,Tornaghi,Paolo,Paolo Tornaghi,GK, $72Ê000.00 , $72Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
VAN,Tornaghi,Paolo,Paolo Tornaghi,GK, $72Ê000.00 , $72Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
MTL,Paponi,Daniele,Daniele Paponi,F, $72Ê000.00 , $87Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
MTL,Paponi,Daniele,Daniele Paponi,F, $72Ê000.00 , $87Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
MTL,Paponi,Daniele,Daniele Paponi,F, $72Ê000.00 , $87Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
SKC,Myers ,Chance ,Chance  Myers ,D-M , $72Ê000.00 , $87Ê667.00 ,"January 9, 2011",2011,January,January 2011,,
CHI,Lowry ,Peter ,Peter  Lowry ,F-M , $40Ê000.00 , $40Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
POR,Brown ,Adin ,Adin  Brown ,GK , $72Ê000.00 , $76Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
DC,Cronin ,Steve ,Steve  Cronin ,GK , $72Ê000.00 , $72Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
SJE,Luiz Moreira ,Andre ,Andre  Luiz Moreira ,M , $72Ê000.00 , $72Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
NYRB,Sutton ,Greg ,Greg  Sutton ,GK , $72Ê000.00 , $76Ê500.00 ,"August 12, 2010",2010,August,August 2010,,
CHI,Lowry ,Peter ,Peter  Lowry ,F-M , $20Ê100.00 , $20Ê100.00 ,"September 15, 2009",2009,September,September 2009,,
