SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos, SalaryBaseSalary , SalaryCompensation ,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Column2
SEA,Keller ,Kasey ,Kasey  Keller ,GK ,  -   ,  -   ,"July 10, 2008",2008,July,July 2008,,
NYRB,Abang,Anatole,Anatole Abang,F, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
ORL,Kaka,Ricardo,Ricardo Kaka,M, $6Ê660Ê000.00 , $7Ê167Ê500.00 ,"September 15, 2014",2014,September,September 2014,,
SKC,Abdul-Salaam,Saad,Saad Abdul-Salaam,D, $60Ê000.00 , $73Ê750.00 ,"September 15, 2015",2015,September,September 2015,,
CHI,Accam,David,David Accam,F, $650Ê000.00 , $720Ê938.00 ,"September 15, 2015",2015,September,September 2015,,
FCD,Acosta,Kellyn,Kellyn Acosta,M, $60Ê000.00 , $84Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Bradley,Michael,Michael Bradley,M, $6Ê000Ê000.00 , $6Ê500Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F, $6Ê000Ê000.00 , $6Ê180Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
TFC,Bradley,Michael,Michael Bradley,M, $6Ê000Ê000.00 , $6Ê500Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F, $6Ê000Ê000.00 , $6Ê180Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
VAN,Adekugbe,Samuel,Samuel Adekugbe,D, $60Ê000.00 , $65Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
POR,Adi,Fanendo,Fanendo Adi,F, $651Ê500.00 , $664Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $5Ê544Ê000.00 , $5Ê544Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $6Ê695Ê189.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $6Ê695Ê189.00 ,"April 1, 2014",2014,April,April 2014,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $5Ê038Ê567.00 ,"September 15, 2013",2013,September,September 2013,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $5Ê038Ê567.00 ,"August 1, 2013",2013,August,August 2013,,
CLB,Afful,Harrison,Harrison Afful,D, $150Ê000.00 , $150Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
NE,Agudelo,Juan,Juan Agudelo,F, $400Ê000.00 , $427Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê500Ê000.00 , $4Ê500Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê500Ê000.00 , $4Ê500Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
LAG,Donovan,Landon,Landon Donovan,F, $4Ê250Ê000.00 , $4Ê583Ê333.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Donovan,Landon,Landon Donovan,F, $4Ê250Ê000.00 , $4Ê583Ê333.00 ,"April 1, 2014",2014,April,April 2014,,
DC,Aguilar,Miguel,Miguel Aguilar,M, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê000Ê000.00 , $4Ê333Ê333.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê000Ê000.00 , $4Ê333Ê333.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê000Ê000.00 , $4Ê333Ê333.00 ,"May 1, 2013",2013,May,May 2013,,
FCD,Akindele,Tesho,Tesho Akindele,F, $70Ê000.00 , $87Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Cahill ,Tim ,Tim  Cahill ,M , $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
NE,Jones,Jermaine,Jermaine Jones,M, $3Ê000Ê000.00 , $3Ê252Ê500.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Beckham ,David ,David  Beckham ,M , $3Ê000Ê000.00 , $4Ê000Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
LAG,Beckham ,David ,David  Beckham ,M , $3Ê000Ê000.00 , $4Ê000Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
LAG,Beckham ,David ,David  Beckham ,M , $3Ê000Ê000.00 , $4Ê000Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F , $2Ê917Ê241.00 , $3Ê417Ê243.00 ,"January 10, 2012",2012,January,January 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F , $2Ê917Ê241.00 , $3Ê417Ê243.00 ,"August 1, 2012",2012,August,August 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F , $2Ê917Ê241.00 , $3Ê417Ê243.00 ,"May 15, 2012",2012,May,May 2012,,
LAG,Keane ,Robbie ,Robbie  Keane ,F , $2Ê917Ê241.00 , $3Ê417Ê243.00 ,"January 9, 2011",2011,January,January 2011,,
SJE,Alashe,Fatai,Fatai Alashe,M, $60Ê000.00 , $76Ê250.00 ,"September 15, 2015",2015,September,September 2015,,
HOU,Alex,,Alex,M, $142Ê000.00 , $142Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Donovan,Landon,Landon Donovan,F, $2Ê500Ê000.00 , $2Ê500Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,Donovan,Landon,Landon Donovan,F, $2Ê500Ê000.00 , $2Ê500Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,Donovan,Landon,Landon Donovan,F, $2Ê500Ê000.00 , $2Ê500Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
CHI,Alex,,Alex,M, $123Ê750.00 , $133Ê700.00 ,"September 15, 2014",2014,September,September 2014,,
CHI,Alex,,Alex,M, $123Ê750.00 , $133Ê700.00 ,"April 1, 2014",2014,April,April 2014,,
MTL,Alexander,Eric,Eric Alexander,M, $140Ê000.00 , $153Ê750.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $2Ê400Ê000.00 , $2Ê400Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $2Ê400Ê000.00 , $2Ê400Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $2Ê400Ê000.00 , $2Ê400Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $2Ê300Ê000.00 , $2Ê300Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $2Ê050Ê000.00 , $2Ê127Ê778.00 ,"August 12, 2010",2010,August,August 2010,,
RSL,Allen,Jordan,Jordan Allen,M/F, $80Ê000.00 , $90Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Frings ,Torsten ,Torsten  Frings ,M , $2Ê000Ê000.00 , $2Ê413Ê667.00 ,"January 10, 2012",2012,January,January 2012,,
TFC,Frings ,Torsten ,Torsten  Frings ,M , $2Ê000Ê000.00 , $2Ê413Ê667.00 ,"August 1, 2012",2012,August,August 2012,,
TFC,Frings ,Torsten ,Torsten  Frings ,M , $2Ê000Ê000.00 , $2Ê413Ê667.00 ,"May 15, 2012",2012,May,May 2012,,
FCD,de Guzman ,Julian ,Julian  de Guzman ,M , $1Ê863Ê996.00 , $1Ê910Ê746.00 ,"January 10, 2012",2012,January,January 2012,,
FCD,de Guzman ,Julian ,Julian  de Guzman ,M , $1Ê863Ê996.00 , $1Ê910Ê746.00 ,"August 1, 2012",2012,August,August 2012,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M , $1Ê863Ê996.00 , $1Ê910Ê746.00 ,"May 15, 2012",2012,May,May 2012,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M , $1Ê863Ê996.00 , $1Ê910Ê746.00 ,"January 9, 2011",2011,January,January 2011,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M , $1Ê670Ê796.00 , $1Ê717Ê546.00 ,"August 12, 2010",2010,August,August 2010,,
NYCFC,Allen,RJ,RJ Allen,D, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
SEA,Martins,Obafemi,Obafemi Martins,F, $1Ê620Ê000.00 , $1Ê753Ê333.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Martins,Obafemi,Obafemi Martins,F, $1Ê620Ê000.00 , $1Ê753Ê333.00 ,"April 1, 2014",2014,April,April 2014,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F , $1Ê620Ê000.00 , $1Ê918Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
SEA,Martins,Obafemi,Obafemi Martins,F, $1Ê600Ê000.00 , $1Ê725Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
SEA,Martins,Obafemi,Obafemi Martins,F, $1Ê600Ê000.00 , $1Ê725Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
SEA,Martins,Obafemi,Obafemi Martins,F, $1Ê600Ê000.00 , $1Ê725Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F, $1Ê500Ê000.00 , $2Ê600Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
MTL,Di Vaio,Marco,Marco Di Vaio,F, $1Ê500Ê000.00 , $2Ê600Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F , $1Ê500Ê000.00 , $1Ê798Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
DC,Gallardo ,Marcelo ,Marcelo  Gallardo ,M , $1Ê500Ê000.00 , $1Ê874Ê006.00 ,"July 10, 2008",2008,July,July 2008,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F , $1Ê500Ê000.00 , $1Ê593Ê750.00 ,"July 10, 2008",2008,July,July 2008,,
NYRB,Angel ,Juan Pablo ,Juan Pablo  Angel ,F , $1Ê500Ê000.00 , $1Ê593Ê750.00 ,"July 31, 2007",2007,July,July 2007,,
CHI,Alex,,Alex,M, $110Ê000.00 , $119Ê950.00 ,"September 15, 2013",2013,September,September 2013,,
CHI,Alex,,Alex,M, $110Ê000.00 , $119Ê950.00 ,"August 1, 2013",2013,August,August 2013,,
SEA,Ljungberg ,Fredrik ,Fredrik  Ljungberg ,M , $1Ê300Ê000.00 , $1Ê314Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
TFC,Koevermans,Danny,Danny Koevermans,F, $1Ê250Ê000.00 , $1Ê663Ê323.00 ,"September 15, 2013",2013,September,September 2013,,
TFC,Koevermans,Danny,Danny Koevermans,F, $1Ê250Ê000.00 , $1Ê663Ê323.00 ,"August 1, 2013",2013,August,August 2013,,
TFC,Koevermans,Danny,Danny Koevermans,F, $1Ê250Ê000.00 , $1Ê663Ê323.00 ,"May 1, 2013",2013,May,May 2013,,
POR,Boyd ,Kris ,Kris  Boyd ,F , $1Ê250Ê000.00 , $1Ê515Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
POR,Boyd ,Kris ,Kris  Boyd ,F , $1Ê250Ê000.00 , $1Ê515Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
POR,Boyd ,Kris ,Kris  Boyd ,F , $1Ê250Ê000.00 , $1Ê515Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
VAN,Miller ,Kenny ,Kenny  Miller ,F , $1Ê221Ê816.00 , $1Ê239Ê316.00 ,"January 10, 2012",2012,January,January 2012,,
VAN,Miller ,Kenny ,Kenny  Miller ,F , $1Ê221Ê816.00 , $1Ê239Ê316.00 ,"August 1, 2012",2012,August,August 2012,,
SEA,Alonso,Osvaldo,Osvaldo Alonso,M, $748Ê000.00 , $789Ê667.00 ,"September 15, 2015",2015,September,September 2015,,
POR,Ridgewell,Liam,Liam Ridgewell,D, $1Ê200Ê000.00 , $1Ê200Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
NE,Alston,Kevin,Kevin Alston,D, $140Ê000.00 , $158Ê333.00 ,"September 15, 2015",2015,September,September 2015,,
VAN,Morales,Pedro,Pedro Morales,M, $1Ê190Ê000.00 , $1Ê410Ê900.00 ,"September 15, 2014",2014,September,September 2014,,
VAN,Morales,Pedro,Pedro Morales,M, $1Ê190Ê000.00 , $1Ê410Ê900.00 ,"April 1, 2014",2014,April,April 2014,,
TFC,Altidore,Jozy,Jozy Altidore,F, $4Ê750Ê000.00 , $4Ê750Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F , $1Ê150Ê000.00 , $1Ê563Ê323.00 ,"January 10, 2012",2012,January,January 2012,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F , $1Ê150Ê000.00 , $1Ê563Ê323.00 ,"August 1, 2012",2012,August,August 2012,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F , $1Ê150Ê000.00 , $1Ê563Ê323.00 ,"May 15, 2012",2012,May,May 2012,,
TFC,Junior,Gilberto,Gilberto Junior,F, $1Ê145Ê000.00 , $1Ê205Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
TFC,Junior,Gilberto,Gilberto Junior,F, $1Ê145Ê000.00 , $1Ê205Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
CHI,Alex,,Alex,M, $110Ê000.00 , $119Ê950.00 ,"May 1, 2013",2013,May,May 2013,,
COL,Alvarez,Carlos,Carlos Alvarez,M, $70Ê000.00 , $70Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
VAN,Miller,Kenny,Kenny Miller,F, $1Ê114Ê992.00 , $1Ê124Ê992.00 ,"September 15, 2013",2013,September,September 2013,,
VAN,Miller,Kenny,Kenny Miller,F, $1Ê114Ê992.00 , $1Ê124Ê992.00 ,"August 1, 2013",2013,August,August 2013,,
VAN,Miller,Kenny,Kenny Miller,F, $1Ê114Ê992.00 , $1Ê132Ê492.00 ,"May 1, 2013",2013,May,May 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F, $1Ê000Ê008.00 , $1Ê937Ê508.00 ,"September 15, 2013",2013,September,September 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F, $1Ê000Ê008.00 , $1Ê937Ê508.00 ,"August 1, 2013",2013,August,August 2013,,
MTL,Di Vaio,Marco,Marco Di Vaio,F, $1Ê000Ê008.00 , $1Ê937Ê508.00 ,"May 1, 2013",2013,May,May 2013,,
MTL,Di Vaio ,Marco ,Marco  Di Vaio ,F , $1Ê000Ê008.00 , $1Ê937Ê508.00 ,"January 10, 2012",2012,January,January 2012,,
MTL,Di Vaio ,Marco ,Marco  Di Vaio ,F , $1Ê000Ê008.00 , $1Ê937Ê508.00 ,"August 1, 2012",2012,August,August 2012,,
NYRB,Reyna ,Claudio ,Claudio  Reyna ,M , $1Ê000Ê008.00 , $1Ê250Ê008.00 ,"July 31, 2007",2007,July,July 2007,,
NYCFC,Alvarez,Pablo,Pablo Alvarez,M, $60Ê000.00 , $63Ê045.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Gonzalez,Omar,Omar Gonzalez,D, $1Ê000Ê000.00 , $1Ê250Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Gonzalez,Omar,Omar Gonzalez,D, $1Ê000Ê000.00 , $1Ê250Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
CHV,Angel ,Juan Pablo ,Juan Pablo  Angel ,F , $1Ê000Ê000.00 , $1Ê250Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
TFC,Koevermans ,Danny ,Danny  Koevermans ,F , $999Ê996.00 , $1Ê413Ê319.00 ,"January 9, 2011",2011,January,January 2011,,
SJE,Amarikwa,Quincy,Quincy Amarikwa,F, $100Ê000.00 , $100Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Martinez ,"Miguel ""Mista"" ","Miguel ""Mista""  Martinez ",F , $968Ê736.00 , $987Ê338.00 ,"August 12, 2010",2010,August,August 2010,,
SKC,Anibaba,Jalil,Jalil Anibaba,D, $120Ê000.00 , $150Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
VAN,Miller,Kenny,Kenny Miller,F, $930Ê000.00 , $940Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
TFC,de Guzman ,Julian ,Julian  de Guzman ,M , $909Ê600.00 , $956Ê350.00 ,"September 15, 2009",2009,September,September 2009,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $900Ê000.00 , $900Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $900Ê000.00 , $900Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
LAG,Donovan ,Landon ,Landon  Donovan ,F , $900Ê000.00 , $900Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
SKC,Anor,Bernardo,Bernardo Anor,M, $135Ê000.00 , $135Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
FCD,De Oliveira ,Denilson ,Denilson  De Oliveira ,M , $872Ê736.00 , $879Ê936.00 ,"July 31, 2007",2007,July,July 2007,,
CHI,Alex ,,Alex,M , $96Ê000.00 , $105Ê950.00 ,"January 10, 2012",2012,January,January 2012,,
TFC,Aparicio,Manuel,Manuel Aparicio,M, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
CHI,Alex ,,Alex,M , $96Ê000.00 , $105Ê950.00 ,"August 1, 2012",2012,August,August 2012,,
PHI,Aristeguieta,Fernando,Fernando Aristeguieta,F, $350Ê004.00 , $350Ê004.00 ,"September 15, 2015",2015,September,September 2015,,
DC,Arnaud,Davy,Davy Arnaud,M, $212Ê500.00 , $212Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
DC,Arrieta,Jairo,Jairo Arrieta,F, $150Ê000.00 , $165Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
HOU,Beasley,DaMarcus,DaMarcus Beasley,D, $750Ê000.00 , $779Ê167.00 ,"September 15, 2014",2014,September,September 2014,,
SKC,Johnson ,Eddie ,Eddie  Johnson ,F , $750Ê000.00 , $875Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
ORL,Ashe,Corey,Corey Ashe,M, $180Ê000.00 , $189Ê750.00 ,"September 15, 2015",2015,September,September 2015,,
DC,Emilio ,Luciano ,Luciano  Emilio ,F , $720Ê000.00 , $758Ê857.00 ,"September 15, 2009",2009,September,September 2009,,
SKC,Lopez ,Claudio ,Claudio  Lopez ,F , $720Ê000.00 , $820Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
DC,Emilio ,Luciano ,Luciano  Emilio ,F , $720Ê000.00 , $758Ê857.00 ,"July 10, 2008",2008,July,July 2008,,
POR,Asprilla,Dairon,Dairon Asprilla,F, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
RSL,Attinella,Jeff,Jeff Attinella,GK, $60Ê000.00 , $65Ê083.00 ,"September 15, 2015",2015,September,September 2015,,
SEA,Montero,Fredy,Fredy Montero,F, $700Ê000.00 , $856Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
SEA,Montero,Fredy,Fredy Montero,F, $700Ê000.00 , $856Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
SEA,Montero,Fredy,Fredy Montero,F, $700Ê000.00 , $856Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
TFC,Frings ,Torsten ,Torsten  Frings ,M , $699Ê996.00 , $1Ê113Ê663.00 ,"January 9, 2011",2011,January,January 2011,,
VAN,Hassli ,Eric ,Eric  Hassli ,F , $660Ê000.00 , $900Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
ORL,Avila,Eric,Eric Avila,M, $72Ê000.00 , $77Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
CHI,Amarikwa,Quincy,Quincy Amarikwa,F, $60Ê000.00 , $60Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
PHI,Ayuk,Eric,Eric Ayuk,M, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
SEA,Azira,Michael,Michael Azira,D, $60Ê000.00 , $62Ê827.00 ,"September 15, 2015",2015,September,September 2015,,
PHI,Edu,Maurice,Maurice Edu,M, $650Ê000.00 , $650Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
PHI,Edu,Maurice,Maurice Edu,M, $650Ê000.00 , $650Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
CLB,Schelotto ,Guillermo Barros ,Guillermo Barros  Schelotto ,F-M , $650Ê000.00 , $775Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
COL,Badji,Dominique,Dominique Badji,F, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYCFC,Ballouchy,Mehdi,Mehdi Ballouchy,M, $68Ê250.00 , $83Ê250.00 ,"September 15, 2015",2015,September,September 2015,,
FCD,Escobar,Andres,Andres Escobar,F, $625Ê000.00 , $647Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
FCD,Escobar,Andres,Andres Escobar,F, $625Ê000.00 , $647Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
FCD,Ferreira,David,David Ferreira,M-F, $625Ê000.00 , $730Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
FCD,Ferreira,David,David Ferreira,M-F, $625Ê000.00 , $730Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
FCD,Ferreira,David,David Ferreira,M-F, $625Ê000.00 , $730Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
HOU,Barnes,Giles,Giles Barnes,M, $247Ê500.00 , $258Ê375.00 ,"September 15, 2015",2015,September,September 2015,,
DC,DeRosario ,Dwayne ,Dwayne  DeRosario ,M , $617Ê857.00 , $663Ê191.00 ,"January 10, 2012",2012,January,January 2012,,
DC,DeRosario ,Dwayne ,Dwayne  DeRosario ,M , $617Ê857.00 , $663Ê191.00 ,"August 1, 2012",2012,August,August 2012,,
DC,DeRosario ,Dwayne ,Dwayne  DeRosario ,M , $617Ê857.00 , $663Ê191.00 ,"May 15, 2012",2012,May,May 2012,,
NE,Barnes,Darrius,Darrius Barnes,D, $95Ê000.00 , $101Ê667.00 ,"September 15, 2015",2015,September,September 2015,,
SJE,Wondolowski,Chris,Chris Wondolowski,M, $600Ê000.00 , $650Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
SKC,Besler,Matt,Matt Besler,D, $600Ê000.00 , $633Ê250.00 ,"September 15, 2014",2014,September,September 2014,,
SKC,Zusi,Graham,Graham Zusi,F-M, $600Ê000.00 , $631Ê389.00 ,"September 15, 2014",2014,September,September 2014,,
SJE,Wondolowski,Chris,Chris Wondolowski,M, $600Ê000.00 , $650Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
DC,DeRosario,Dwayne,Dwayne DeRosario,M, $600Ê000.00 , $645Ê333.00 ,"September 15, 2013",2013,September,September 2013,,
DC,DeRosario,Dwayne,Dwayne DeRosario,M, $600Ê000.00 , $645Ê333.00 ,"August 1, 2013",2013,August,August 2013,,
DC,DeRosario,Dwayne,Dwayne DeRosario,M, $600Ê000.00 , $645Ê333.00 ,"May 1, 2013",2013,May,May 2013,,
SEA,Montero ,Fredy ,Fredy  Montero ,F , $600Ê000.00 , $756Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
FCD,Ferreira ,David ,David  Ferreira ,M-F , $600Ê000.00 , $705Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
